"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\araik\OneDrive\Документы\work\busfy\src\pages\profile\Profile.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\araik\OneDrive\Документы\work\busfy\src\pages\profile\Profile.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\araik\OneDrive\Документы\work\busfy\src\pages\registration\Registration.module.scss", "SCSS", 0, 0, 0, 66, 0, 0, 14, 80
"c:\Users\araik\OneDrive\Документы\work\busfy\src\pages\registration\Registration.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 7, 62
"c:\Users\araik\OneDrive\Документы\work\busfy\src\pages\test\Test.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\api\api.ts", "TypeScript", 0, 51, 0, 0, 0, 1, 9, 61
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\api\contentCategory\getContentCategories.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\api\posts\recomendations.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 6, 48
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\consts\images.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 0, 14, 89
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\lib\classNames\classNames.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\ui\button\Button.module.scss", "SCSS", 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\ui\button\Button.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\ui\input\Input.module.scss", "SCSS", 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\ui\input\Input.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\ui\loader\Loader.module.scss", "SCSS", 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\araik\OneDrive\Документы\work\busfy\src\shared\ui\loader\Loader.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\araik\OneDrive\Документы\work\busfy\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 562, 395, 17, 300, 53, 2, 238, 1567
